OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
394088,3841,1637,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,4356200005,CST,,,960,879,6574,7bf04808-bed7-44d6-9ef7-0ea05023f37f,1286698.62995437,191761.079864413
394089,3842,1638,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,3723800431,CST,,,763,721,5393,e9cde0a7-1d1b-45f6-8989-518bcd47e13c,1287704.31987539,204481.569861427
394090,3843,1639,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,3812400435,CST,,,1176,1111,8313,3feb30f0-7326-4695-938a-b666aec1db45,1283643.67999923,201295.400002167
394091,3844,1640,RAINWISE,SPU,RW,SPU,2020,P,,Genesee,,,PIN,5249804535,CST,,,1656,1565,11706,cfe5b5be-4340-4353-a8c7-83771c6f27fd,1286422.77485009,207684.128072709
394092,3845,1641,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,3424049075,CST,,,1333,1260,9422,16cb30df-1872-4eaa-80d6-8465802b4cfa,1284889.7001605,196675.590013444
394093,3847,1642,RAINWISE,SPU,RW,SPU,2020,P,,Queen Anne,,,PIN,2425039031,CST,,,825,780,5832,d340da55-fd6c-420c-8444-f2315c3d86ee,1262739.92388183,237800.557991549
394094,3846,1642,RAINWISE,SPU,RW,SPU,2020,P,,Queen Anne,,,PIN,2425039031,RGN,,,750,1544,11545,404c423a-40de-4755-aafb-5cbcbdcf9b4f,1262739.92388183,237800.557991549
394095,3848,1643,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,7129300500,CST,,,920,851,6362,8e6a1853-8c86-4bce-9483-a2e07305baac,1288652.25005236,189538.87992613
394096,3849,1644,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,2976800870,CST,,,1109,1048,7841,f5fccc72-3512-4262-8435-e7b0f4a0900a,1288735.80006845,186990.239987522
394097,3850,1645,RAINWISE,SPU,RW,SPU,2020,P,,Windermere,,,PIN,7533800305,CRG,,,2946,7936,59359,3886613a-e999-4f9c-944a-62f5f22544ed,1285730.99212937,253038.128887162
